d14,ad,day7,m1,m3,m6,m12,m18,m24,m60
0,2018-06-24,9.0,15.0,15.0,16.0,50.0,52.0,52.0,52.0
0,2018-06-24,4.0,16.0,16.0,22.0,37.0,45.0,45.0,45.0
0,2018-06-24,4.0,5.0,7.0,9.0,28.0,29.0,29.0,29.0
0,2018-06-24,4.0,5.0,5.0,6.0,11.0,16.0,16.0,20.0
0,2018-06-24,9.0,16.0,34.0,49.0,52.0,53.0,53.0,53.0
0,2018-06-24,-1.0,-1.0,2.0,6.0,19.0,24.0,24.0,24.0
1,2018-06-24,3.0,13.0,30.0,37.0,44.0,47.0,50.0,50.0
0,2018-06-24,5.0,21.0,25.0,31.0,33.0,33.0,33.0,33.0
0,2018-06-24,11.0,26.0,28.0,28.0,28.0,28.0,28.0,28.0
0,2018-06-24,-1.0,2.0,18.0,23.0,25.0,25.0,27.0,29.0
0,2018-06-24,-1.0,4.0,33.0,45.0,88.0,91.0,95.0,95.0
0,2018-06-24,-1.0,2.0,6.0,14.0,16.0,17.0,17.0,17.0
0,2018-06-24,4.0,10.0,30.0,50.0,126.0,141.0,141.0,141.0
0,2018-06-24,-1.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0
0,2018-06-24,2.0,4.0,17.0,24.0,32.0,44.0,47.0,47.0
0,2018-06-24,6.0,12.0,33.0,38.0,42.0,42.0,42.0,42.0
0,2018-06-24,2.0,4.0,7.0,13.0,15.0,16.0,16.0,16.0
0,2018-06-24,-1.0,6.0,6.0,10.0,11.0,11.0,12.0,12.0
0,2018-06-24,2.0,8.0,25.0,46.0,49.0,53.0,53.0,53.0
1,2018-06-24,4.0,10.0,19.0,19.0,19.0,19.0,19.0,19.0
0,2018-06-24,7.0,16.0,23.0,25.0,27.0,27.0,27.0,27.0
0,2018-06-24,2.0,3.0,8.0,18.0,33.0,37.0,37.0,37.0
1,2018-06-24,5.0,19.0,48.0,54.0,63.0,66.0,67.0,67.0
1,2018-06-24,2.0,6.0,18.0,28.0,38.0,38.0,38.0,38.0
0,2018-06-24,2.0,18.0,41.0,44.0,49.0,49.0,49.0,49.0
0,2018-06-24,-1.0,8.0,11.0,11.0,12.0,12.0,12.0,13.0
0,2018-06-24,8.0,12.0,18.0,25.0,44.0,49.0,52.0,52.0
0,2018-06-24,5.0,17.0,37.0,49.0,55.0,55.0,55.0,55.0
0,2018-06-24,-1.0,2.0,4.0,7.0,27.0,27.0,28.0,28.0
0,2018-06-24,5.0,9.0,12.0,33.0,55.0,74.0,77.0,82.0
0,2018-06-24,6.0,17.0,25.0,40.0,42.0,47.0,48.0,48.0
0,2018-06-24,4.0,11.0,26.0,55.0,83.0,100.0,105.0,105.0
0,2018-06-24,8.0,24.0,37.0,38.0,41.0,42.0,43.0,43.0
0,2018-06-24,10.0,30.0,33.0,46.0,49.0,49.0,49.0,49.0
0,2018-06-24,-1.0,8.0,34.0,37.0,43.0,43.0,43.0,43.0
0,2018-06-24,-1.0,10.0,27.0,47.0,63.0,65.0,65.0,65.0
0,2018-06-24,6.0,19.0,24.0,44.0,54.0,59.0,60.0,60.0
0,2018-06-24,4.0,11.0,19.0,35.0,36.0,36.0,36.0,36.0
0,2018-06-24,5.0,10.0,28.0,41.0,43.0,44.0,44.0,44.0
0,2018-06-24,2.0,14.0,29.0,40.0,63.0,66.0,71.0,71.0
0,2018-06-24,2.0,5.0,6.0,11.0,16.0,16.0,16.0,16.0
0,2018-06-24,8.0,37.0,58.0,61.0,68.0,68.0,69.0,69.0
0,2018-06-24,-1.0,3.0,7.0,14.0,31.0,31.0,31.0,31.0
0,2018-06-24,3.0,17.0,28.0,33.0,64.0,64.0,64.0,64.0
0,2018-06-24,2.0,7.0,9.0,22.0,55.0,72.0,72.0,74.0
0,2018-06-24,-1.0,3.0,13.0,41.0,58.0,65.0,65.0,66.0
1,2018-06-24,-1.0,9.0,20.0,28.0,33.0,33.0,33.0,33.0
0,2018-06-24,-1.0,3.0,5.0,14.0,28.0,48.0,49.0,49.0
0,2018-06-24,3.0,13.0,43.0,70.0,79.0,79.0,79.0,79.0
0,2018-06-24,-1.0,5.0,9.0,17.0,23.0,26.0,46.0,58.0
0,2018-06-24,4.0,20.0,61.0,63.0,67.0,72.0,72.0,72.0
0,2018-06-24,6.0,16.0,23.0,30.0,39.0,58.0,60.0,60.0
0,2018-06-24,2.0,6.0,13.0,22.0,25.0,29.0,29.0,29.0
0,2018-06-24,4.0,10.0,23.0,24.0,26.0,27.0,27.0,27.0
0,2018-06-24,-1.0,4.0,20.0,29.0,35.0,35.0,37.0,37.0
0,2018-06-24,2.0,6.0,16.0,25.0,37.0,38.0,40.0,40.0
0,2018-06-24,10.0,28.0,41.0,48.0,50.0,50.0,50.0,51.0
0,2018-06-24,-1.0,2.0,17.0,20.0,23.0,24.0,27.0,27.0
0,2018-06-24,2.0,15.0,59.0,64.0,69.0,80.0,80.0,81.0
0,2018-06-24,-1.0,3.0,13.0,19.0,19.0,19.0,20.0,20.0
0,2018-06-24,2.0,8.0,15.0,28.0,30.0,30.0,30.0,30.0
0,2018-06-24,3.0,9.0,18.0,23.0,51.0,51.0,52.0,53.0
1,2018-06-24,6.0,29.0,57.0,66.0,98.0,106.0,109.0,109.0
0,2018-06-24,2.0,6.0,12.0,24.0,28.0,30.0,32.0,33.0
0,2018-06-24,5.0,8.0,20.0,27.0,42.0,46.0,52.0,54.0
0,2018-06-24,2.0,21.0,30.0,59.0,89.0,102.0,106.0,107.0
0,2018-06-24,6.0,9.0,18.0,28.0,42.0,48.0,49.0,49.0
0,2018-06-24,3.0,16.0,26.0,26.0,28.0,31.0,31.0,31.0
1,2018-06-24,2.0,5.0,12.0,20.0,43.0,43.0,43.0,43.0
0,2018-06-24,-1.0,5.0,5.0,12.0,35.0,35.0,35.0,35.0
0,2018-06-24,2.0,8.0,20.0,30.0,46.0,52.0,54.0,54.0
0,2018-06-24,9.0,12.0,19.0,32.0,59.0,59.0,59.0,59.0
